drug,logrank_p,cox_hr,cox_p,n_sens,n_res,fdr_q
JAK_8517,0.4547150855780929,0.8730932255013734,0.704937230448597,41,41,0.6227132699049746
Mirin,0.4625358428851051,0.9025376920364915,0.808106099149558,41,41,0.6303184525591138
GSK2606414,0.4719084538497569,0.8864369632522016,0.8009761467385741,41,41,0.6396374641332097
Cyclophosphamide,0.4757094418598645,0.9925848947472385,0.9907587207269336,41,41,0.6396374641332097
IRAK4_4710,0.476276816818613,1.2305487661757917,0.7832390290508879,41,41,0.6396374641332097
Lestaurtinib,0.481954428549486,0.9490780774030535,0.9072162966477859,41,41,0.6441506304651784
Refametinib,0.48667739097607443,0.8106707800240426,0.5573393777389681,41,41,0.6451730954722567
615590,0.4873609713999061,0.957441030473264,0.963469996232293,41,41,0.6451730954722567
HKMTI-1-005,0.5032618088631362,0.7883158593693178,0.432063903601669,41,41,0.6630653216301036
CCT007093,0.5142775741290028,1.2184569584007257,0.8084348574701808,41,41,0.6743828566408621
Gemcitabine,0.5236125662314189,0.8283105736025503,0.1934307850003003,41,41,0.6826636902903128
GSK2276186C,0.5255037040364279,0.8435544991150342,0.6708543989748003,41,41,0.6826636902903128
Cytarabine,0.5293160517095359,1.0998046780045352,0.6738209097004164,41,41,0.6844179645360511
KRAS (G12C) Inhibitor-12,0.5322367477322876,0.8274859584157376,0.6115605383161189,41,41,0.6850084068035923
MK-8776,0.5388264651314174,0.8793781485320198,0.724673578934665,41,41,0.6879974370503693
776928,0.5417886460845109,0.5813095879165037,0.2433739864927896,41,41,0.6879974370503693
NU7441,0.541983592496514,0.6105981759880205,0.20838279486766573,41,41,0.6879974370503693
A-366,0.5509470301022956,0.9540645354610362,0.931186357112904,41,41,0.6960476738631021
ULK1_4989,0.5555714661622553,1.166115368642541,0.653029972941872,41,41,0.6960476738631021
VE821,0.5558366316460743,0.8002495151184001,0.6003482398140504,41,41,0.6960476738631021
Palbociclib,0.5611602909468494,1.3410360756007271,0.45478734734711657,41,41,0.6995630532880006
Dactinomycin,0.5865008404047896,0.4936960282710211,0.041587548917028476,41,41,0.7278894358595156
Rapamycin,0.5992869155337197,0.5229883638531954,0.20345582336490603,41,41,0.7404522778594403
VTP-A,0.635322041007915,1.181757849841053,0.8806103963137799,41,41,0.7792907672017918
Gefitinib,0.6363273530748444,1.4687027479537913,0.5587315852014446,41,41,0.7792907672017918
Acetalax,0.639654542470578,0.685925627403044,0.18441801043775313,41,41,0.779929661433424
Camptothecin,0.6609097646750663,0.8739758065962437,0.572573671071827,41,41,0.800897458291184
LMP744,0.6626130050610515,0.8737076345958895,0.5956039483411406,41,41,0.800897458291184
Olaparib,0.6659927171940825,0.992867301362558,0.9804455182536389,41,41,0.8014977289175538
ERK_2440,0.6700749783236495,0.8187610726455642,0.6080926084779672,41,41,0.802884944953775
